year_month,avg_complexity,median_complexity,p75_complexity,pct_complex,date
2018-01,0.16671291959935386,0.132,0.132,0.02104946941528959,2018-01-01
2018-02,0.16665040792881958,0.13208,0.13208,0.020586984496937497,2018-02-01
2018-03,0.16637871905693596,0.13204,0.13204,0.02071155885212221,2018-03-01
2018-04,0.16749530969363388,0.13306,0.13306,0.02118386403910546,2018-04-01
2018-05,0.16743957653355857,0.13278,0.13278,0.02137683832414542,2018-05-01
2018-06,0.16571289527051297,0.13130000000000003,0.13130000000000003,0.02030712103044134,2018-06-01
2018-07,0.1659959947433822,0.131,0.131,0.02074562368021535,2018-07-01
2018-08,0.16693286413566347,0.13226,0.13226,0.021311068117183123,2018-08-01
2018-09,0.166208215218537,0.1312,0.1312,0.02102263842799312,2018-09-01
2018-10,0.16525070348747445,0.13116,0.13116,0.019471972240467473,2018-10-01
2018-11,0.16692048476898658,0.13269999999999998,0.13269999999999998,0.020178360007836255,2018-11-01
2018-12,0.16748251097732253,0.1333,0.1333,0.020778446720752766,2018-12-01
2019-01,0.16862608882405608,0.13408,0.13408,0.02169977881844983,2019-01-01
2019-02,0.16731966259665793,0.13296,0.13296,0.02099062260853674,2019-02-01
2019-03,0.16744675380066462,0.13306,0.13306,0.020812727320302482,2019-03-01
2019-04,0.16853028600813375,0.13452,0.13452,0.021349007334747015,2019-04-01
2019-05,0.16904445085385142,0.13544,0.13544,0.021170778742948006,2019-05-01
2019-06,0.16935312058712199,0.1352,0.1352,0.02183563212278007,2019-06-01
2019-07,0.1683579005449976,0.13458,0.13458,0.021223844350944567,2019-07-01
2019-08,0.1705474486155574,0.13634000000000002,0.13634000000000002,0.022458091352154715,2019-08-01
2019-09,0.16818372863698988,0.134,0.134,0.021112587108685132,2019-09-01
2019-10,0.16632538200386882,0.13196000000000002,0.13196000000000002,0.020994185625170723,2019-10-01
2019-11,0.16614842207356906,0.13156,0.13156,0.021066594400308083,2019-11-01
2019-12,0.1685823063561095,0.13388,0.13388,0.021941447209930392,2019-12-01
2020-01,0.16807781750259107,0.13302,0.13302,0.022177762765493686,2020-01-01
2020-02,0.1674225900356962,0.13224,0.13224,0.021538470600709212,2020-02-01
2020-03,0.16842606453251316,0.13402,0.13402,0.02126158664766715,2020-03-01
2020-04,0.167329776691751,0.13284,0.13284,0.02099251314284616,2020-04-01
2020-05,0.1665935234226311,0.132,0.132,0.020600375059911864,2020-05-01
2020-06,0.16647929843741735,0.13166,0.13166,0.02067405427600505,2020-06-01
2020-07,0.16878983957939797,0.13414,0.13414,0.02157943423947264,2020-07-01
2020-08,0.16960841259573287,0.13474,0.13474,0.022300130531714587,2020-08-01
2020-09,0.16972706172645144,0.13490000000000002,0.13490000000000002,0.022479836268074697,2020-09-01
2020-10,0.1704837185793256,0.13588,0.13588,0.022567093600813055,2020-10-01
2020-11,0.17064127551215774,0.13584,0.13584,0.022254132363265046,2020-11-01
2020-12,0.17156926909302161,0.13624,0.13624,0.023726227488333196,2020-12-01
2021-01,0.1710979521254567,0.13588,0.13588,0.023391220853004966,2021-01-01
2021-02,0.17101803600148663,0.1359,0.1359,0.023598635719289707,2021-02-01
2021-03,0.1697695388976805,0.13444,0.13444,0.022935766298598156,2021-03-01
2021-04,0.17090482880892122,0.13558,0.13558,0.023086706836080526,2021-04-01
2021-05,0.17022604547590878,0.13491999999999998,0.13491999999999998,0.02252078505096997,2021-05-01
2021-06,0.16866305937546208,0.13348,0.13348,0.021975104515331155,2021-06-01
2021-07,0.16955946987195142,0.13435999999999998,0.13435999999999998,0.022462579812288476,2021-07-01
2021-08,0.1701890062929384,0.13478,0.13478,0.023619636220295077,2021-08-01
2021-09,0.17035184497679667,0.13456,0.13456,0.02328214868036767,2021-09-01
2021-10,0.17063042581583493,0.1358,0.1358,0.022997909280974456,2021-10-01
2021-11,0.17136832132376498,0.13604,0.13604,0.023693890400568508,2021-11-01
2021-12,0.1706158591073918,0.13478,0.13478,0.02362241213520809,2021-12-01
2022-01,0.1711820691057501,0.13526,0.13526,0.02386675574791942,2022-01-01
2022-02,0.16854649575012093,0.13278,0.13278,0.022938597501516444,2022-02-01
2022-03,0.1687905745734412,0.13344,0.13344,0.02198900728786717,2022-03-01
2022-04,0.1690799237665754,0.1338,0.1338,0.022977398400171795,2022-04-01
2022-05,0.16768304470662687,0.13182,0.13182,0.021837235934062622,2022-05-01
2022-06,0.16714145554577123,0.13116,0.13116,0.022801835991988966,2022-06-01
2022-07,0.16739106859360678,0.13114,0.13114,0.022397753203440406,2022-07-01
2022-08,0.16638925725794193,0.13069999999999998,0.13069999999999998,0.02176622587019304,2022-08-01
2022-09,0.16672590243762478,0.13044,0.13044,0.022253009628351375,2022-09-01
2022-10,0.16710178981135454,0.13124000000000002,0.13124000000000002,0.02267490616578328,2022-10-01
2022-11,0.16721326428008002,0.13194,0.13194,0.021966902244496322,2022-11-01
2022-12,0.1718410738792212,0.13577,0.13577,0.02444354512343181,2022-12-01
2023-01,0.1734694314971595,0.13716,0.13716,0.02588619299560507,2023-01-01
2023-02,0.17324370194895009,0.13626,0.13626,0.025776436564818307,2023-02-01
2023-03,0.1754207036035593,0.13894,0.13894,0.026552283565213115,2023-03-01
2023-04,0.17835004035680263,0.14129999999999998,0.14129999999999998,0.028601945671314338,2023-04-01
2023-05,0.1775790837937385,0.14043,0.14043,0.02881560773480663,2023-05-01
2023-06,0.17497430944202916,0.13732,0.13732,0.028240818581413783,2023-06-01
2023-07,0.17564542573277916,0.13763999999999998,0.13763999999999998,0.02902161389369801,2023-07-01
2023-08,0.1778761980818702,0.13998,0.13998,0.029209021204325784,2023-08-01
2023-09,0.17700650242064106,0.1392,0.1392,0.028927719516154075,2023-09-01
2023-10,0.17708298781643902,0.13938,0.13938,0.029359924159966293,2023-10-01
2023-11,0.17893597832755548,0.14098,0.14098,0.030402034193972815,2023-11-01
2023-12,0.18187235711682315,0.1432,0.1432,0.032750750646510576,2023-12-01
2024-01,0.18063490863390336,0.14191,0.14191,0.03182007432651236,2024-01-01
2024-02,0.1791512407217814,0.14045999999999997,0.14045999999999997,0.031273995392884564,2024-02-01
2024-03,0.1784393402695492,0.13992,0.13992,0.030739005129538036,2024-03-01
