year_month,language,questions,avg_score,avg_views,avg_answers,pct_accepted,unique_users,date
2018-01,other,379487,2.0514141459391233,915.5581403315529,0.5560164116293839,0.2007789463143665,159667,2018-01-01
2018-02,other,362122,1.9573237748604062,869.9755027311238,0.5525375425961416,0.2010758805043604,155030,2018-02-01
2018-03,other,408371,2.1469717487284847,862.2654644918468,0.5506463485409101,0.198309870191566,173065,2018-03-01
2018-04,other,383169,1.9703342389389538,872.2944679762716,0.5488726906404223,0.1965033705753858,163398,2018-04-01
2018-05,other,393089,2.025007059469993,870.6049317075776,0.5503740883107897,0.1962736174250615,166526,2018-05-01
2018-06,other,361942,2.0075868509319172,882.9063192445199,0.549209541860298,0.1959374706444679,155235,2018-06-01
2018-07,other,377429,1.9361760755002928,854.2490693613898,0.5470220889226848,0.19463263289254404,160028,2018-07-01
2018-08,other,378348,1.9213475424741244,819.5950183429012,0.5470017021366572,0.19500301309905166,160004,2018-08-01
2018-09,other,345342,1.9436616455571578,801.0414284969683,0.5483549640646084,0.1950153760619907,148824,2018-09-01
2018-10,other,382139,1.8290046292056032,749.8205181884078,0.5445322251850766,0.1955466466390502,162439,2018-10-01
2018-11,other,352209,1.8285904108072195,750.5780715427487,0.5386915155490064,0.197550318134971,153952,2018-11-01
2018-12,other,315423,1.8598897353712316,747.1648801767785,0.5399003877332978,0.1953472004260945,139456,2018-12-01
2019-01,other,358529,1.8337066178747048,730.9885476488653,0.5388573867106984,0.19543746809881488,155928,2019-01-01
2019-02,other,350204,1.7388579228107046,703.4292412422474,0.5415443570033466,0.1954089616337906,152353,2019-02-01
2019-03,other,382170,1.8820289400005232,691.6066933563598,0.5381610278148468,0.19491325849752728,164665,2019-03-01
2019-04,other,361703,1.6659800996950538,656.4590064223963,0.5344992991487492,0.19273271164463662,158659,2019-04-01
2019-05,other,354687,1.62230924730819,604.4999929515319,0.5294668256801067,0.1940697008912083,155579,2019-05-01
2019-06,other,319661,1.7286281404362747,687.954082606261,0.5347727749084186,0.19421824995854983,141608,2019-06-01
2019-07,other,354130,1.6093016688786603,629.3763363736481,0.533086719566261,0.19391184028464123,154353,2019-07-01
2019-08,other,327677,1.650836036706879,610.5578176069728,0.5282702173176634,0.19439570064423198,144575,2019-08-01
2019-09,other,324451,1.6506560312651217,621.7928315831974,0.5340529078350814,0.19061738136113004,144248,2019-09-01
2019-10,other,358766,1.5522903508136223,600.5907583215801,0.5328152612008942,0.1925349670816075,157046,2019-10-01
2019-11,other,350555,1.5101909828700204,559.7897334227154,0.5289155767283308,0.19047510376403132,155008,2019-11-01
2019-12,other,315476,1.5658560397621373,589.0703159669832,0.526382355551611,0.1912950588951299,141143,2019-12-01
2020-01,other,346383,1.5418481853901607,592.2923064931016,0.5262902625128831,0.19308973015419348,151740,2020-01-01
2020-02,other,339532,1.458472250038288,570.8447215579091,0.5256293957565119,0.19298622810221128,150547,2020-02-01
2020-03,other,354395,1.3727817830386997,542.8818295969187,0.5200919877537775,0.1973052667221603,157216,2020-03-01
2020-04,other,416196,1.3355510384530365,525.76629760978,0.5168045824563426,0.20053772741689013,177768,2020-04-01
2020-05,other,429798,1.3077026882395917,505.969776499658,0.5136575786764945,0.19860725270941232,181853,2020-05-01
2020-06,other,396971,1.3221494769139308,514.7493444105489,0.515889069982442,0.1947900476357215,170016,2020-06-01
2020-07,other,385923,1.3101162667164175,514.4127325917347,0.5144705031832775,0.19571779862822378,165251,2020-07-01
2020-08,other,346276,1.3026025482563042,500.6667196109462,0.5127037392138063,0.195872656493664,152099,2020-08-01
2020-09,other,330296,1.299168018989028,488.10377358490564,0.5077112650471093,0.1944467992346259,148465,2020-09-01
2020-10,other,331589,1.3031735069619317,474.76036297947155,0.5040517025594938,0.1966500698153437,148950,2020-10-01
2020-11,other,313380,1.3057853085710638,477.3394090241879,0.5032899355415151,0.19779181823983663,142687,2020-11-01
2020-12,other,313282,1.2728372520604438,457.53001449173587,0.5002681290339056,0.193193352953569,142279,2020-12-01
2021-01,other,325977,1.2221046270135623,455.42919899256697,0.5013298484248889,0.19399221417461968,147072,2021-01-01
2021-02,other,304043,1.193729176465171,446.25489815585297,0.4947162079048029,0.19481783826629787,141226,2021-02-01
2021-03,other,339339,1.1632821455830304,433.94835547932894,0.49331789154798006,0.19354391920763603,154929,2021-03-01
2021-04,other,311348,1.1478859668281152,423.51310109587985,0.49160103806672917,0.1909728021378008,144474,2021-04-01
2021-05,other,308515,1.1317991021506248,421.6564186506329,0.49301654700743885,0.18942677017324927,142829,2021-05-01
2021-06,other,297564,1.124396768426288,413.803265852052,0.4910607465956903,0.18691105106800554,138850,2021-06-01
2021-07,other,286610,1.094441924566484,402.09642022260215,0.4880988102299292,0.1873172603886815,133895,2021-07-01
2021-08,other,284128,1.109756870143034,412.8518836580696,0.49240131208469423,0.1867538574163757,132046,2021-08-01
2021-09,other,279055,1.110501514038451,419.7047427926394,0.49097848094461666,0.18314310798946445,131239,2021-09-01
2021-10,other,275025,1.0745095900372694,405.30933915098626,0.4889628215616762,0.1858231069902736,129623,2021-10-01
2021-11,other,271589,1.078331596640512,416.8499534222667,0.48538416504350324,0.18521368685771514,130402,2021-11-01
2021-12,other,258949,1.095354683740814,415.9026526458878,0.4867329087967129,0.18087731561040976,125316,2021-12-01
2022-01,other,275404,1.0736517988119272,432.7691645727731,0.48478598713163207,0.18304745029120856,132507,2022-01-01
2022-02,other,260478,1.0011670851281107,440.5544038268107,0.4843710409324396,0.1792320272729367,127360,2022-02-01
2022-03,other,279094,0.9449468637806617,415.6428300142604,0.48124646176557,0.17759966176270361,135637,2022-03-01
2022-04,other,260778,0.9154108091940271,388.6184532437552,0.479756727944842,0.1761805060242812,128831,2022-04-01
2022-05,other,265464,0.8805337070186541,354.27721649639875,0.47756381279570864,0.17265241237983306,130478,2022-05-01
2022-06,other,256646,0.851168535648325,313.53503658736156,0.4692845397941133,0.17247882297016123,127005,2022-06-01
2022-07,other,256365,0.7981276695336726,283.10329803210266,0.46968189885514794,0.17434127123437287,125325,2022-07-01
2022-08,other,263160,0.7772951816385469,255.60676394588845,0.46511627906976744,0.1738486092111263,127991,2022-08-01
2022-09,other,243967,0.7295617849955117,227.89102214643785,0.46067295986752305,0.17271188316452635,120787,2022-09-01
2022-10,other,245646,0.6971414148815775,205.9150484844044,0.46087052099362497,0.1735668400869544,122186,2022-10-01
2022-11,other,251014,0.6826192961348769,202.50525070314802,0.457261347972623,0.17048053096640028,126384,2022-11-01
2022-12,other,222390,0.7058096137416251,208.48718017896488,0.4559827330365574,0.1691757722919196,114872,2022-12-01
2023-01,other,225487,0.701951775490383,172.62938883394608,0.4483007889590087,0.1676460283741413,116886,2023-01-01
2023-02,other,198825,0.6537306676725764,170.93591349176413,0.4424695083616245,0.1642248208223312,106980,2023-02-01
2023-03,other,203410,0.6755469249299444,180.48914016026745,0.4372154761319503,0.1608229683889681,109545,2023-03-01
2023-04,other,173205,0.6157443491816056,167.2155653705147,0.39363759706705925,0.14404895932565456,99613,2023-04-01
2023-05,other,173760,0.5827750920810313,151.0306399631676,0.3782170810313076,0.1389675414364641,101249,2023-05-01
2023-06,other,166532,0.5381608339538347,133.59054115725507,0.3750870703528451,0.13540941080392957,98249,2023-06-01
2023-07,other,165773,0.510981884866655,117.5682348754019,0.3747654925711666,0.13604748662327398,96630,2023-07-01
2023-08,other,160156,0.4961225305327306,104.06570468792927,0.3707947251429856,0.1354429431304478,94084,2023-08-01
2023-09,other,141698,0.49439653347259666,94.33019520388432,0.36482519160468035,0.13375629860689636,84787,2023-09-01
2023-10,other,142405,0.4657771847898599,82.63657174958745,0.3594045152908957,0.1319827253256557,86004,2023-10-01
2023-11,other,135287,0.43073613872729827,70.62777650476394,0.35569566920694523,0.13050773540694968,82025,2023-11-01
2023-12,other,115234,0.4166391863512505,54.48215804363296,0.34856899873301284,0.12666400541506848,71673,2023-12-01
2024-01,other,129698,0.3804916035713735,41.62967817545375,0.3466514518342611,0.12812842140973646,79386,2024-01-01
2024-02,other,125024,0.3568354875863834,33.572850012797545,0.33693530842078323,0.12357627335551574,76915,2024-02-01
2024-03,other,130811,0.23038582382215564,21.961287659294708,0.3109830213055477,0.10998310539633517,82153,2024-03-01
