variable,coefficient,std_error,t_stat,p_value,sig,model,n_obs,n_clusters
did_copilot_beta,0.12008854873317948,0.4157702252241945,0.2888339314543857,0.7776373654279816,,M1_tag_entropy,975,13
did_copilot_ga,0.09356634832408628,0.3079872189808512,0.30379945191785274,0.766483879509779,,M1_tag_entropy,975,13
did_chatgpt,0.09739221249176358,0.24001174927055147,0.40578102025321655,0.692045520509696,,M1_tag_entropy,975,13
did_gpt4,0.13547723512366217,0.1850198371178154,0.7322308636419029,0.47808587204528763,,M1_tag_entropy,975,13
did_llama2,-0.04355781735726583,0.12807982169036738,-0.3400833697486457,0.7396726228165293,,M1_tag_entropy,975,13
did_code_llama,0.10348783039512924,0.11399942500065317,0.9077925646952718,0.38185677685186215,,M1_tag_entropy,975,13
did_devin,0.12461789812077989,0.01456946694564786,8.553360159686921,1.8836522945875345e-06,***,M1_tag_entropy,975,13
covid_peak,0.003830696800332961,1.0238892896754086,0.0037413193388782895,0.9970763436251384,,M1_tag_entropy,975,13
tech_layoff,0.1659277057246872,0.6008427160470182,0.276158304483303,0.7871250031508661,,M1_tag_entropy,975,13
llm_interest,0.5813997457879266,0.5452555190828418,1.066288603122958,0.30727688815559406,,M1_tag_entropy,975,13
so_total_questions_lt,0.3918027332686853,54.37716173895835,0.007205281054380215,0.9943694670901655,,M1_tag_entropy,975,13
season_m1,-0.06737388724779753,0.4679662976711438,-0.14397166544489814,0.8879123960541759,,M1_tag_entropy,975,13
season_m2,0.014145553789918691,0.45155767561214555,0.03132612854103862,0.9755244517204693,,M1_tag_entropy,975,13
season_m3,-0.018914514752054405,0.4598971691032797,-0.04112770424078594,0.9678704606484212,,M1_tag_entropy,975,13
season_m4,-0.014220541473366734,0.39043328779625125,-0.03642246170564167,0.9715443879668859,,M1_tag_entropy,975,13
season_m5,-0.01696582556083759,0.3946702592544845,-0.04298734237762257,0.9664186333856422,,M1_tag_entropy,975,13
season_m6,0.006034522072096822,0.40554517394295897,0.014880024371700683,0.9883724309543449,,M1_tag_entropy,975,13
season_m7,0.030599002225682806,0.39990111982049736,0.07651642045768141,0.9402691829554382,,M1_tag_entropy,975,13
season_m8,0.035169977950083316,0.3965514550078993,0.0886895698047123,0.9307915900088748,,M1_tag_entropy,975,13
season_m9,0.025513759195336577,0.39984401773212264,0.06380928077916033,0.9501727006844105,,M1_tag_entropy,975,13
season_m10,-0.029779930095382767,0.4101271071880761,-0.07261146501522585,0.9433115445937772,,M1_tag_entropy,975,13
season_m11,-0.005924053245682424,0.4035667828412286,-0.014679238970004792,0.9885293166666573,,M1_tag_entropy,975,13
did_copilot_beta,0.057613740563040486,1.1194386887598295,0.05146663335967768,0.9598004903990367,,M2_unique_tags_lt,975,13
did_copilot_ga,0.23432654746055123,0.8170227551332884,0.28680541146289545,0.7791532330178703,,M2_unique_tags_lt,975,13
did_chatgpt,-0.15666495415175746,0.6285205923601838,-0.2492598588750424,0.8073751376767637,,M2_unique_tags_lt,975,13
did_gpt4,0.19542090777804524,0.47934431998113003,0.40768378727370386,0.6906852117372768,,M2_unique_tags_lt,975,13
did_llama2,0.10446723508854516,0.3300339802677442,0.31653478530845464,0.7570352416575017,,M2_unique_tags_lt,975,13
did_code_llama,-0.1781611262637332,0.29362592796733916,-0.6067622416626319,0.5553149025853856,,M2_unique_tags_lt,975,13
did_devin,0.15582582432099618,0.036860058645822355,4.22749800314431,0.0011731884600056919,***,M2_unique_tags_lt,975,13
covid_peak,-0.0018000269303298233,2.2000229530032636,-0.000818185522961293,0.999360626864533,,M2_unique_tags_lt,975,13
tech_layoff,0.09584450690561586,1.2106898522994778,0.07916520215609078,0.9382060669177616,,M2_unique_tags_lt,975,13
llm_interest,0.3034806196160344,1.1024646077736393,0.27527470494394846,0.7877877252528602,,M2_unique_tags_lt,975,13
so_total_questions_lt,0.6192729729636354,112.60058024468384,0.005499731632092303,0.9957022438305612,,M2_unique_tags_lt,975,13
season_m1,-0.04747967934702671,0.9600178037087698,-0.049457082112021024,0.9613686948957414,,M2_unique_tags_lt,975,13
season_m2,0.0049769871308284475,0.9603682198608172,0.005182373831101725,0.9959502400793903,,M2_unique_tags_lt,975,13
season_m3,-0.002874014721064095,0.9561912834059024,-0.0030056901489699923,0.9976511994181885,,M2_unique_tags_lt,975,13
season_m4,-0.002687188315440507,0.8173745844995095,-0.003287584867941437,0.997430913236413,,M2_unique_tags_lt,975,13
season_m5,-0.007290989163558026,0.8209002978424762,-0.008881698767463603,0.9930594721671859,,M2_unique_tags_lt,975,13
season_m6,-0.005002048689888204,0.8397049651753739,-0.00595691212668192,0.9953449852929765,,M2_unique_tags_lt,975,13
season_m7,0.0001923246108685578,0.8390906521670578,0.0002292059986270317,0.9998208863757421,,M2_unique_tags_lt,975,13
season_m8,0.005400721294298727,0.8378482569387771,0.006445942030160918,0.9949628395630863,,M2_unique_tags_lt,975,13
season_m9,0.009811878878349181,0.8305949728218273,0.011813072796497587,0.9907688760156481,,M2_unique_tags_lt,975,13
season_m10,-0.003142419792056206,0.819261754485441,-0.0038356725122972272,0.9970026116647182,,M2_unique_tags_lt,975,13
season_m11,0.012031993476644923,0.8062940315454705,0.014922587797881255,0.9883391736541245,,M2_unique_tags_lt,975,13
did_copilot_beta,-0.01096432612543891,0.02656945212102584,-0.4126666246445574,0.687128278326868,,M3_tag_concentration,975,13
did_copilot_ga,0.008709783462190143,0.01986961988556133,0.4383467581339735,0.6689222157709267,,M3_tag_concentration,975,13
did_chatgpt,-0.018303795624271316,0.015434688620313983,-1.1858869378279022,0.25861774567938167,,M3_tag_concentration,975,13
did_gpt4,-0.005998293760891062,0.011616780141718418,-0.5163473602594807,0.6149939629186787,,M3_tag_concentration,975,13
did_llama2,0.04116598714411116,0.008486163390170146,4.850953870602507,0.00039759830505969873,***,M3_tag_concentration,975,13
did_code_llama,-0.03839197387204732,0.007495925151003504,-5.121712543635479,0.0002525400485742235,***,M3_tag_concentration,975,13
did_devin,-0.01336789762299865,0.0008984627595006754,-14.878632955725307,4.264644637430592e-09,***,M3_tag_concentration,975,13
covid_peak,-0.011122048740588562,0.09684363490961327,-0.11484542841632353,0.9104669374547965,,M3_tag_concentration,975,13
tech_layoff,-0.0029839808283737557,0.05617934002025139,-0.05311527026302013,0.9585140654666302,,M3_tag_concentration,975,13
llm_interest,0.0041933527208114305,0.04865387014363487,0.08618744425534718,0.9327388038486346,,M3_tag_concentration,975,13
so_total_questions_lt,0.0418421950460005,5.041493072175221,0.00829956412653506,0.9935143646106386,,M3_tag_concentration,975,13
season_m1,-0.0037183196216579537,0.043196989278826765,-0.0860782124804357,0.9328238210767454,,M3_tag_concentration,975,13
season_m2,-0.0020103132398420166,0.04017602746149469,-0.05003763106665364,0.9609156310905411,,M3_tag_concentration,975,13
season_m3,-0.0019896024606853944,0.04262380209815169,-0.04667820238335027,0.9635375411673641,,M3_tag_concentration,975,13
season_m4,-0.00276888521909338,0.03606049627038969,-0.07678444573617783,0.9400603992411882,,M3_tag_concentration,975,13
season_m5,-0.002273338324677767,0.03674808932058495,-0.061862762573735366,0.9516905629706676,,M3_tag_concentration,975,13
season_m6,-0.00024789786880049375,0.03765753056635279,-0.0065829560534697365,0.9948557720582087,,M3_tag_concentration,975,13
season_m7,-0.004607863969104632,0.03833467025295853,-0.12020095487188946,0.9063130279782101,,M3_tag_concentration,975,13
season_m8,-0.0019858190013559325,0.038194175806140346,-0.05199271772312152,0.9593899758019113,,M3_tag_concentration,975,13
season_m9,0.0032294331311314203,0.036233771982281074,0.08912771026738998,0.9304506663958989,,M3_tag_concentration,975,13
season_m10,0.00387690978955184,0.03906718127878747,0.09923699797755585,0.922588625188546,,M3_tag_concentration,975,13
season_m11,0.0009931631351381806,0.03853985131417447,0.025769770802745878,0.9798645596348292,,M3_tag_concentration,975,13
